SITE,DATE,time line,pH,Temp,normality,sampleVolume,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp
GUIL,2015-10-13,October_2015,7.87,20,1.6,100,,,,
GUIL,2015-10-27,October_2015,7.92,20.3,1.6,100,,,179.5,20.7
GUIL,2015-10-27,October_2015,7.92,22.7,1.6,100,,,,
GUIL,2015-11-02,November_2015,8.05,20.2,1.6,100,,,181.5,20.5
GUIL,2015-11-02,November_2015,8.03,21,1.6,100,,,,
GUIL,2015-12-16,December_2015,8.13,23.7,1.6,100,,,223,19.4
GUIL,2015-12-16,December_2015,8.13,21.9,1.6,100,,,,
GUIL,2016-01-19,January_2016,8.05,21,1.6,100,,,229.9,18.7
GUIL,2016-01-19,January_2016,8.1,19.9,1.6,100,,,,
GUIL,2016-02-16T,Feburary_2016,8.06,24.4,0.16,50,,,223.6,19.7
GUIL,2016-02-16,Feburary_2016,8.86,22.2,0.16,50,,,,
GUIL,2016-03-01,March_2016,7.96,21.3,0.16,50,,,214.1,19.1
GUIL,2016-03-01,March_2016,7.82,23.3,0.16,50,,,,
GUIL,2016-03-15,March_2016,7.86,22.2,0.16,50,8.02,92.3,120.5,19.3
GUIL,2016-03-15,March_2016,7.76,24.5,0.16,50,,,,
GUIL,2016-03-15,March_2016,7.82,24.1,0.16,50,,,,
GUIL,2016-03-23,March_2016,7.8,23,1.6,50,,,209.9,19.7
GUIL,2016-03-23,March_2016,7.7,21.9,1.6,50,,,,
GUIL,2016-04-05,April_2016,7.64,21.3,1.6,100,9.48,111.4,215.3,20.4
GUIL,2016-04-05,April_2016,7.59,20.8,1.6,100,,,,
GUIL,2016-04-26,April_2016,7.58,21.8,1.6,100,8.73,102.7,134.4,20.2
GUIL,2016-04-26,April_2016,7.47,21.2,1.6,100,,,,
GUIL,2016-05-10,May_2016,7.65,21.4,1.6,100,8.77,102.8,148.2,20.2
GUIL,2016-05-10,May_2016,7.57,22.2,1.6,100,,,,
GUIL,2016-05-24,May_2016,7.7,22.3,1.6,100,8.27,101.1,207.7,22.8
GUIL,2016-05-24,May_2016,7.73,22.7,1.6,100,,,,
GUIL,2016-05-31,May_2016,8.06,22.4,1.6,100,7.85,95.5,203.8,22
GUIL,2016-05-31,May_2016,8.05,22,1.6,100,,,,
GUIL,2016-06-14,June_2016,8.16,24.4,1.6,100,7.53,92.6,213.3,22.8
GUIL,2016-06-14,June_2016,8.09,23.9,1.6,100,,,,
GUIL,2016-06-21,June_2016,8.26,21.4,1.6,100,8.67,105.3,219.2,22.1
GUIL,2016-06-21,June_2016,8.22,22.7,1.6,100,,,,
GUIL,2016-07-19,July_2016,7.83,20.7,1.6,100,8.25,98,142.8,20.8
GUIL,2016-07-19,July_2016,7.86,19.3,1.6,100,,,,
GUIL,2016-07-26,July_2016,7.86,20.7,1.6,100,7.76,94.3,188.4,22.1
GUIL,2016-07-26,July_2016,7.77,21,1.6,100,,,,
GUIL,2016-07-26,July_2016,7.78,20.8,1.6,100,,,,
GUIL,2016-08-09,August_2016,7.55,20.2,1.6,100,7.86,96.9,195.8,22.8
GUIL,2016-08-09,August_2016,7.59,21.2,1.6,100,,,,
GUIL,2016-08-23,August_2016,7.94,22.5,1.6,100,8.9,97.3,167.7,21.7
GUIL,2016-08-23,August_2016,7.83,22.7,1.6,100,,,,
GUIL,2016-09-06,September_2016,7.93,23.5,0.16,50,7.92,96,189.5,21.9
GUIL,2016-09-06,September_2016,7.97,23.7,0.16,50,,,,
GUIL,2016-09-13,September_2016,7.98,21.8,0.16,50,8.42,101.1,168.1,21.2
GUIL,2016-09-13,September_2016,7.9,24.1,0.16,50,,,,
GUIL,2016-09-13,September_2016,7.94,24.2,0.16,50,,,,
GUIL,2016-09-27,September_2016,7.74,23.7,0.16,50,8.46,100.7,200.4,21
GUIL,2016-09-27,September_2016,7.76,22.9,0.16,50,,,,
GUIL,2016-10-11,October_2016,8,25.6,0.16,50,7.74,90.6,201,21.8
GUIL,2016-10-11,October_2016,8,23.7,0.16,50,,,,
GUIL,2016-10-19,October_2016,7.94,20.9,0.16,50,7.87,93.7,151.5,20.7
GUIL,2016-10-19,October_2016,7.82,22.2,0.16,50,,,,
GUIL,2016-10-26,October_2016,7.82,18.3,0.16,50,8.63,101.9,168.9,20.4
GUIL,2016-10-26,October_2016,7.71,20.3,0.16,50,,,,
GUIL,2016-11-15,November_2016,7.48,23.9,0.16,50,9.03,106.6,168.1,20.3
GUIL,2016-11-15,November_2016,7.51,23.5,0.16,50,,,,
GUIL,2016-11-29,November_2016,7.64,21.3,0.16,50,7.73,89.6,194.4,19.4
GUIL,2016-11-29,November_2016,7.77,19.5,0.16,50,,,,
GUIL,2016-12-13,December_2016,8.07,21.9,0.16,50,8.4,96.9,204.6,19.5
GUIL,2016-12-13,December_2016,8.04,22.4,0.16,50,,,,
GUIL,2017-01-24,January_2017,7.9,21.5,0.16,50,8.57,97.6,221.5,18.7
GUIL,2017-01-24,January_2017,7.93,20.7,0.16,50,,,,
GUIL,2017-02-14,Feburary_2017,7.5,20.6,0.16,50,,,,
GUIL,2017-02-14,Feburary_2017,7.4,21.4,0.16,50,8.27,93.2,154.7,18.2
GUIL,2017-02-28,Feburary_2017,0.16,20.5,0.16,50,,,,
GUIL,2017-02-28,Feburary_2017,7.94,19.5,0.16,50,8.06,93,222.8,19.5
GUIL,2017-03-28,March_2017,7.51,19.8,0.16,50,,,,
GUIL,2017-03-28,March_2017,7.56,17.8,0.16,50,8.57,100.5,209.6,20
GUIL,2017-04-06,April_2017,7.75,19.2,0.16,50,7.81,90.7,204.5,19.4
GUIL,2017-04-06,April_2017,7.69,21.7,0.16,50,,,,
GUIL,2017-04-25,April_2017,7.94,21.7,0.16,50,8.51,101.3,209.9,20.8
GUIL,2017-04-25,April_2017,7.82,20.8,0.16,50,,,,
GUIL,2017-05-04,May_2017,7.8,24.5,0.16,50,8.45,98.4,220.2,19.8
GUIL,2017-05-30,May_2017,8.03,23.5,0.16,50,,,,
GUIL,2017-05-30,May_2017,8.08,20.8,0.16,50,8.44,103.1,228,22.3
GUIL,2017-06-12,June_2017,8.16,20.5,0.16,50,9.36,112.6,234.3,21.4
GUIL,2017-06-12,June_2017,8.22,17,0.16,50,,,,
GUIL,2017-06-12,June_2017,8.1,19.4,0.16,50,,,,
GUIL,2017-06-27,June_2017,7.87,18.9,0.16,50,7.73,93.1,221.9,21.6
GUIL,2017-06-27,June_2017,7.75,17.8,0.16,50,,,,
GUIL,2017-07-19,July_2017,7.82,18,0.16,50,8.8,107,237,22.2
GUIL,2017-07-19,July_2017,7.82,20.2,0.16,50,,,,
GUIL,2017-07-24,July_2017,7.87,21.9,0.16,50,8.33,101.6,224.3,22.5
GUIL,2017-07-24,July_2017,7.97,17.4,0.16,50,,,,
GUIL,2017-08-22,August_2017,7.34,18.9,0.16,50,8.17,99.1,204.7,21.9
GUIL,2017-08-22,August_2017,7.44,15.2,0.16,50,,,,
GUIL,2017-08-29,August_2017,7.49,17,0.16,50,,,,
GUIL,2017-08-29,August_2017,7.6,17.5,0.16,50,,,,
GUIL,2017-09-14,September_2017,7.8,18,0.16,50,7.74,93.1,205.1,21.5
GUIL,2017-09-14,September_2017,7.78,18.6,0.16,50,,,,
GUIL,2017-09-18,September_2017,7.77,21.6,0.16,50,7.81,90.7,204.5,22.1
GUIL,2017-09-18,September_2017,7.79,18.2,0.16,50,,,,
GUIL,2017-11-13,November_2017,7.97,15.1,0.16,50,8.22,97.8,222.1,20.7
GUIL,2017-11-13,November_2017,7.81,12.3,0.16,50,,,,
GUIL,2017-11-21,November_2017,7.8,18.6,0.16,50,8.39,99.4,199.2,20.6
GUIL,2017-11-21,November_2017,7.87,19.2,0.16,50,,,,
GUIL,2017-11-28,November_2017,7.84,18,0.16,50,8.67,99.7,211,19.3
GUIL,2017-11-28,November_2017,7.8,19.4,0.16,50,,,,
